"ASIN","Title","Category Name","Price","Bought In Last Month"
"B01JS6YLQK","Regina Blitz Household Towel, 560 Super-Sized Sheets, Triple Layered Strength, 8 Count (Pack of 1)","Grocery","14.99",30000
"B0080ZSQKS","Dr.Beckmann Service-it Deep Clean Washing Machine Cleaner, 1 Treatment","Large Appliances","2.4",20000
"B006ZMNWYS","Dr. Beckmann Carpet Stain Remover | Removes new and dried-in stains | includes applicator brush (650 ml)","Grocery","2.75",20000
"B004RDYI04","Sudafed Blocked Nose Spray, Relief from Congestion Caused by Head Cold and Allergies, Sinusitis, Helps Clear The Nasal Passage, Lasts Up to 10 Hours and Gets to Work in 2 Minutes, 15 Ml","Health & Personal Care","4.0",20000
"B00IIOR7NS","Zero In Spider Repellent â€“ 500 ml. Ready-to-use Spray. Natural, Poison-Free, Mint Scented Repeller Spray. Welfare Friendly and Humane","Gardening","5.9",20000
"B086KDW3W5","Mr Muscle Drain Unblocker, Sink & Drain Cleaner, Heavy Duty Drain Gel, 2 x 500 ml","Grocery","6.0",20000
"B001ETUD5I","Nizoral Anti-dandruff Shampoo, Treats and Prevents Dandruff, Suitable for Dry Flaky and Itchy Scalp, Contains Ketoconazole - 60ml","Health & Personal Care","6.82",20000
"B0BH8SHD38","Step Ahead Covid-19 Lateral Flow Testing Kit | Pack Of 5 |, White","Health & Personal Care","6.95",20000
"B01CJXO4LQ","OATLY Oat Drink Barista Edition, 6 x 1L","Grocery","12.6",20000
"B00BSYR7K8","Earth Rated Dog Poo Bags, New Look, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count","Pet Supplies","13.74",20000
