"Category Name","Average Rating","Total Reviews","Percentage of Total Reviews"
"Data Storage","4.07","51436102","6.12"
"Cables & Accessories","4.35","50251352","5.98"
"Household Batteries, Chargers & Accessories","3.70","35790214","4.26"
"Sports & Outdoors","0.74","33800729","4.02"
"Health & Personal Care","4.43","29802245","3.55"
"Men","4.23","24999694","2.97"
"Camera & Photo Accessories","4.28","22221150","2.64"
"Women","4.15","19634024","2.34"
"Skin Care","4.14","19195093","2.28"
"Wearable Technology","4.14","18819178","2.24"
"Headphones & Earphones","3.64","18616819","2.22"
"Pet Supplies","4.33","18579590","2.21"
"Customers' Most Loved","4.40","18269775","2.17"
"Mobile Phones & Communication","4.28","18228651","2.17"
"PC & Video Games","4.19","16229803","1.93"
"Grocery","4.45","14595614","1.74"
"Make-up","3.80","14146026","1.68"
"Storage & Organisation","4.30","12905172","1.54"
"Keyboards, Mice & Input Devices","3.94","12506630","1.49"
"Baby","4.03","11120846","1.32"
"Luggage and travel gear","4.19","8206632","0.98"
"Hardware","4.30","8154554","0.97"
"Pens, Pencils & Writing Supplies","4.21","8100639","0.96"
"Networking Devices","3.15","7942023","0.95"
"Beauty","4.27","7931142","0.94"
"PC Gaming Accessories","2.80","7454347","0.89"
"Home Cinema, TV & Video","4.20","7447824","0.89"
"Manicure & Pedicure Products","3.69","7200461","0.86"
"Games & Game Accessories","4.10","7090051","0.84"
"Power & Hand Tools","4.33","7073378","0.84"
"Bath & Body","3.92","6947324","0.83"
"Hair Care","4.08","6864871","0.82"
"Headphones, Earphones & Accessories","4.03","6677829","0.79"
"Hi-Fi Speakers","2.43","6443662","0.77"
"Fragrances","3.64","6406202","0.76"
"Portable Sound & Video Products","3.97","6374645","0.76"
"Office Supplies","4.32","6362017","0.76"
"Car & Motorbike","4.04","5909669","0.70"
"Hi-Fi & Home Audio Accessories","4.09","5716953","0.68"
"Kids' Play Figures","4.16","5505687","0.66"
"Dolls & Accessories","3.70","5495839","0.65"
"Boys","3.93","5390396","0.64"
"Printers & Accessories","3.93","5385615","0.64"
"Arts & Crafts","4.39","5312497","0.63"
"Kids' Art & Craft Supplies","4.03","5236116","0.62"
"Small Kitchen Appliances","3.85","5204467","0.62"
"Building & Construction Toys","3.97","4962905","0.59"
"Hobbies","4.19","4634373","0.55"
"Agricultural Equipment & Supplies","4.13","4508058","0.54"
"Baby & Toddler Toys","3.70","4398814","0.52"
"Gardening","4.13","4198690","0.50"
"Car & Vehicle Electronics","3.63","4005339","0.48"
"Painting Supplies, Tools & Wall Treatments","4.17","3995302","0.48"
"Coffee, Tea & Espresso","3.86","3955983","0.47"
"Office Paper Products","4.43","3879270","0.46"
"Kids' Dress Up & Pretend Play","3.81","3546594","0.42"
"Kids' Play Vehicles","3.59","3527648","0.42"
"Sports Toys & Outdoor","3.68","3445054","0.41"
"Girls","3.87","3400005","0.40"
"Furniture & Lighting","3.45","3312726","0.39"
"Safety & Security","4.14","3308100","0.39"
"Guitars & Gear","3.79","3239573","0.39"
"Outdoor Cooking","3.73","3093869","0.37"
"Indoor Lighting","4.00","3010013","0.36"
"Vacuums & Floorcare","3.88","3001928","0.36"
"Jigsaws & Puzzles","4.02","2912348","0.35"
"Men's Sports & Outdoor Shoes","3.96","2820521","0.34"
"Kitchen & Bath Fixtures","3.71","2803875","0.33"
"Heating, Cooling & Air Quality","3.82","2726560","0.32"
"Pools, Hot Tubs & Supplies","3.23","2708728","0.32"
"Large Appliances","3.85","2658020","0.32"
"Electrical","4.15","2565834","0.31"
"Beer, Wine & Spirits","4.13","2474824","0.29"
"Learning & Education Toys","3.70","2435874","0.29"
"Soft Toys","3.79","2329361","0.28"
"Light Bulbs","3.88","2327990","0.28"
"Storage & Home Organisation","3.50","2300011","0.27"
"Electrical Power Accessories","3.27","2297801","0.27"
"Surveillance Cameras","1.40","2243270","0.27"
"Garden Furniture & Accessories","3.73","2198837","0.26"
"Telephones, VoIP & Accessories","2.25","2119172","0.25"
"GPS, Finders & Accessories","2.84","2116654","0.25"
"Outdoor Lighting","3.44","2027082","0.24"
"Smartwatches","1.33","2009835","0.24"
"Garden Tools & Watering Equipment","3.94","2005880","0.24"
"Building Supplies","4.18","1983844","0.24"
"Office Electronics","3.96","1967447","0.23"
"Bedding & Linen","3.62","1954096","0.23"
"Women's Sports & Outdoor Shoes","3.94","1918336","0.23"
"Monitors","1.30","1913972","0.23"
"Home Entertainment Furniture","3.99","1891663","0.23"
"Computer Audio & Video Accessories","1.54","1837451","0.22"
"Microphones","2.67","1817262","0.22"
"School & Educational Supplies","3.74","1800971","0.21"
"Cushions & Accessories","3.86","1762415","0.21"
"String Lights","2.93","1727256","0.21"
"Bedroom Furniture","3.68","1724058","0.21"
"Mobile Phones & Smartphones","2.31","1724049","0.21"
"Computer Printers","0.94","1702745","0.20"
"Mobile Phone Accessories","4.26","1686304","0.20"
"Adapters","4.14","1678844","0.20"
"Rugs, Pads & Protectors","3.64","1678552","0.20"
"Living Room Furniture","3.76","1658825","0.20"
"Garden Décor","3.92","1628933","0.19"
"Sports Supplements","2.36","1588734","0.19"
"Electronic Toys","1.93","1530108","0.18"
"Ironing & Steamers","3.65","1499590","0.18"
"USB Hubs","4.35","1359644","0.16"
"Plants, Seeds & Bulbs","3.68","1338862","0.16"
"Computer Memory","4.28","1326842","0.16"
"Rough Plumbing","3.67","1290894","0.15"
"Tripods & Monopods","3.01","1239589","0.15"
"Hallway Furniture","3.63","1189703","0.14"
"Binoculars, Telescopes & Optics","1.56","1160922","0.14"
"Recording & Computer","3.71","1137123","0.14"
"CPUs","3.95","1063000","0.13"
"Tablets","0.94","1060392","0.13"
"Tablet Accessories","4.08","1048409","0.12"
"Laptop Accessories","4.45","998607","0.12"
"Bird & Wildlife Care","2.59","989701","0.12"
"Remote & App-Controlled Devices","3.13","957931","0.11"
"Cookware","3.50","926385","0.11"
"Bathroom Furniture","3.79","909707","0.11"
"Smart Speakers","2.58","904129","0.11"
"Professional Education Supplies","3.17","823188","0.10"
"Mattress Pads & Toppers","4.12","821586","0.10"
"Radios & Boomboxes","1.13","794192","0.09"
"Monitor Accessories","0.93","787912","0.09"
"Lenses","3.54","783330","0.09"
"Coffee & Espresso Machines","4.06","770646","0.09"
"Water Coolers, Filters & Cartridges","4.37","750983","0.09"
"Film Cameras","3.76","742151","0.09"
"Kitchen Storage & Organisation","2.78","712417","0.08"
"Luxury Food & Drink","4.55","650857","0.08"
"Fireplaces, Stoves & Accessories","2.28","634207","0.08"
"Signs & Plaques","3.79","607886","0.07"
"Piano & Keyboard","1.56","596436","0.07"
"Bathroom Linen","3.72","573101","0.07"
"Computer Memory Card Accessories","4.29","572351","0.07"
"Home Office Furniture","2.49","564253","0.07"
"Window Treatments","4.10","534005","0.06"
"External Optical Drives","0.46","511765","0.06"
"DJ & VJ Equipment","3.62","511317","0.06"
"Hard Drive Accessories","3.56","441227","0.05"
"Digital Cameras","3.29","427903","0.05"
"Streaming Clients","1.69","394997","0.05"
"Thermometers & Meteorological Instruments","1.63","351402","0.04"
"Hi-Fi Receivers & Separates","0.73","344427","0.04"
"Home Audio Record Players","0.72","334595","0.04"
"Garden Storage & Housing","0.80","323190","0.04"
"Network Cards","0.37","316984","0.04"
"Lights and switches","4.22","312866","0.04"
"Basketball Footwear","1.74","310141","0.04"
"External Sound Cards","0.27","302761","0.04"
"Toy Advent Calendars","0.59","278725","0.03"
"Laptops","1.34","271673","0.03"
"Kitchen Tools & Gadgets","2.72","268030","0.03"
"Kitchen Linen","4.03","263595","0.03"
"Table Tennis","0.64","262286","0.03"
"Clocks","4.22","261936","0.03"
"Mirrors","4.08","260644","0.03"
"Motherboards","4.13","256455","0.03"
"Home Fragrance","3.83","252936","0.03"
"Photo Frames","4.27","251565","0.03"
"Dining Room Furniture","3.75","246239","0.03"
"Tennis Shoes","1.23","245270","0.03"
"Handmade Home & Kitchen Products","3.21","238517","0.03"
"Hiking Hand & Foot Warmers","2.25","228209","0.03"
"Ski Clothing","2.81","225334","0.03"
"Uninterruptible Power Supply Units & Accessories","0.99","222386","0.03"
"Projectors","0.41","217976","0.03"
"KVM Switches","0.76","215800","0.03"
"Flashes","0.42","212586","0.03"
"Alexa Built-In Devices","4.28","210269","0.03"
"Mowers & Outdoor Power Tools","0.79","203765","0.02"
"Computer Cases","4.19","203235","0.02"
"Boxes & Organisers","3.68","195069","0.02"
"Doormats","3.74","188205","0.02"
"Bedding Collections","0.27","187303","0.02"
"Bakeware","4.17","184964","0.02"
"Home Bar Furniture","3.85","182764","0.02"
"Tableware","4.03","179088","0.02"
"Calendars & Personal Organisers","3.63","176958","0.02"
"Smart Home Security & Lighting","2.61","174849","0.02"
"Motorbike Clothing","3.76","173453","0.02"
"Radio Communication","0.82","173079","0.02"
"Power Supplies","4.00","169588","0.02"
"Graphics Cards","3.96","168243","0.02"
"Scanners & Accessories","0.28","165931","0.02"
"Inflatable Beds, Pillows & Accessories","1.71","164673","0.02"
"Professional Medical Supplies","2.09","156392","0.02"
"String Instruments","3.07","153100","0.02"
"eBook Readers & Accessories","1.83","149654","0.02"
"Motorbike Accessories","3.27","148987","0.02"
"Home Entertainment","3.82","142488","0.02"
"Ballet & Dancing Footwear","1.64","140906","0.02"
"Computer Screws","0.70","137841","0.02"
"Handmade Gifts","2.32","137458","0.02"
"Desktop PCs","1.50","135428","0.02"
"Barebone PCs","1.04","135186","0.02"
"Action Cameras","0.96","128364","0.02"
"Plugs","4.04","127131","0.02"
"SIM Cards","1.08","125832","0.01"
"Lighting","4.09","122761","0.01"
"Darts & Dartboards","3.58","121899","0.01"
"Digital Frames","1.38","121658","0.01"
"Art & Craft Supplies","3.63","119741","0.01"
"Slipcovers","4.12","118729","0.01"
"Decorative Artificial Flora","3.79","117698","0.01"
"Curtain & Blind Accessories","1.39","114315","0.01"
"Decorative Home Accessories","4.04","110061","0.01"
"Children's Bedding","4.14","105650","0.01"
"Bass Guitars & Gear","1.39","102911","0.01"
"Abrasive & Finishing Products","4.14","102612","0.01"
"Cycling Shoes","0.35","96885","0.01"
"3D Printing & Scanning","0.10","94181","0.01"
"Bedding Accessories","2.17","89881","0.01"
"Bathroom Lighting","4.03","88403","0.01"
"Candles & Holders","4.04","85822","0.01"
"Outdoor Rope Lights","0.62","83727","0.01"
"Wind Instruments","2.07","83244","0.01"
"Blank Media Cases & Wallets","2.95","80676","0.01"
"Karaoke Equipment","0.85","77945","0.01"
"Industrial Electrical","3.91","77895","0.01"
"External TV Tuners & Video Capture Cards","0.26","74981","0.01"
"Computer & Server Racks","3.57","74952","0.01"
"Ski Goggles","3.63","74752","0.01"
"Golf Shoes","2.44","73471","0.01"
"Motorbike Lighting","0.84","72385","0.01"
"Internal Optical Drives","1.67","70963","0.01"
"3D Printers","2.77","64496","0.01"
"Packaging & Shipping Supplies","1.58","60831","0.01"
"Camcorders","2.46","59949","0.01"
"Test & Measurement","0.78","59751","0.01"
"Handmade Jewellery","1.32","59612","0.01"
"Skiing Poles","1.91","56886","0.01"
"Motorbike Batteries","0.30","55344","0.01"
"Internal TV Tuner & Video Capture Cards","2.54","53010","0.01"
"Outdoor Heaters & Fire Pits","3.72","51743","0.01"
"Drums & Percussion","3.64","50677","0.01"
"Media Streaming Devices","0.16","50212","0.01"
"Handmade Clothing, Shoes & Accessories","0.91","45157","0.01"
"Snow Sledding Equipment","0.28","44451","0.01"
"USB Gadgets","0.60","43175","0.01"
"Handmade","0.81","40330","0.00"
"Cameras","4.38","39003","0.00"
"Vases","4.13","37212","0.00"
"Home Brewing & Wine Making","3.01","36519","0.00"
"Cutting Tools","2.86","32018","0.00"
"Construction Machinery","0.21","30399","0.00"
"Trampolines & Accessories","2.86","29161","0.00"
"Ski Helmets","3.74","27437","0.00"
"Birthday Gifts","1.22","27349","0.00"
"General Music-Making Accessories","2.32","26152","0.00"
"PA & Stage","2.02","25970","0.00"
"Bowling","3.36","24411","0.00"
"I/O Port Cards","0.90","23607","0.00"
"Handmade Home Décor","1.45","23540","0.00"
"CD, Disc & Tape Players","0.08","22523","0.00"
"Synthesisers, Samplers & Digital Instruments","0.09","21099","0.00"
"Snowboards","0.93","19994","0.00"
"Material Handling Products","0.88","17310","0.00"
"Motorbike Electrical & Batteries","0.10","16991","0.00"
"Motorbike Boots & Luggage","1.47","16151","0.00"
"Motorbike Handlebars, Controls & Grips","0.12","15924","0.00"
"Billiard, Snooker & Pool","3.50","15369","0.00"
"Boxing Shoes","0.16","14035","0.00"
"Equestrian Sports Boots","1.17","13619","0.00"
"Climbing Footwear","0.37","13585","0.00"
"Torches","3.99","13505","0.00"
"Handmade Artwork","0.83","12642","0.00"
"Motorbike Instruments","0.16","12488","0.00"
"Computers, Components & Accessories","1.33","11218","0.00"
"Motorbike Brakes","3.21","10443","0.00"
"Decking & Fencing","1.38","10400","0.00"
"Downhill Skis","0.90","10044","0.00"
"Motorbike Seat Covers","1.43","9780","0.00"
"Handmade Kitchen & Dining","0.45","7738","0.00"
"Motorbike Engines & Engine Parts","2.31","6792","0.00"
"Cricket Shoes","1.77","6150","0.00"
"Lab & Scientific Products","0.27","5187","0.00"
"Snowboard Bindings","1.09","4892","0.00"
"Hockey Shoes","1.42","4241","0.00"
"Printer Accessories","2.32","3734","0.00"
"Snowboard Boots","1.06","3298","0.00"
"Downhill Ski Boots","0.64","3142","0.00"
"Motorbike Chassis","1.58","3084","0.00"
"Handmade Baby Products","0.56","2950","0.00"
"Gifts for Her","1.74","2513","0.00"
"Motorbike Exhaust & Exhaust Systems","0.54","2022","0.00"
"Boating Footwear","0.49","1892","0.00"
"Made in Italy Handmade","0.60","1364","0.00"
"Hydraulics, Pneumatics & Plumbing","0.56","489","0.00"
"Motorbike Drive & Gears","0.32","413","0.00"
"Photo Printers","0.30","413","0.00"
"Gifts for Him","1.28","388","0.00"
