"Rank","ASIN","Title","Reviews","Stars"
"1","B01B8R6V2E","Amazon Basics AAA 1.5 Volt Performance Alkaline Batteries - Pack of 100 (Appearance may vary)",1356658,"4.6"
"1","B07KX2N355","Amazon Basics AAA Alkaline Batteries, High-Performance (Triple A), 10-Year Shelf Life, 12-Pack",1356658,"4.6"
"1","B00O869KJE","Amazon Basics AA 1.5 Volt Performance Alkaline Batteries - Pack of 8 (Appearance may vary)",1356658,"4.6"
"1","B094D5Y9WS","Amazon Basics 10-Pack AA High-Performance Alkaline Batteries, 10-Year Shelf Life",1356658,"4.6"
"1","B00NTCH52W","Amazon Basics AA 1.5 Volt Performance Alkaline Batteries - Pack of 20 (Appearance may vary)",1356658,"4.6"
"1","B07KWYGTC6","Amazon Basics AA Performance Alkaline Batteries (12-Pack) - Packaging May Vary",1356658,"4.6"
"1","B00NTCHCU2","Amazon Basics AAA 1.5 Volt Performance Alkaline Batteries - 20 Pack (Appearance may vary)",1356658,"4.6"
"1","B00MNV8E0C","Amazon Basics AA 1.5 Volt Performance Alkaline Batteries - Pack of 48 (Appearance may vary)",1356658,"4.6"
"1","B00O869QUC","Amazon Basics AAA 1.5 Volt Performance Alkaline Batteries - Pack of 8 (Appearance may vary)",1356658,"4.6"
"1","B00LH3DMUO","Amazon Basics AAA 1.5 Volt Performance Alkaline Batteries - Pack of 36 (Appearance may vary)",1356658,"4.6"
"11","B01B8R6PF2","Amazon Basics AA 1.5 Volt Performance Alkaline Batteries - Pack of 100 (Appearance may vary)",1352534,"4.6"
"12","B073JYVKNX","SanDisk Ultra 64 GB microSDXC Memory Card + SD Adapter with A1 App Performance Up to 100 MB/s, Class 10, U1",874007,"4.7"
"12","B0758NHWS8","SanDisk Ultra 256 GB microSDXC Memory Card + SD Adapter with A1 App Performance Up to 100 MB/s, Class 10, U1",874007,"4.7"
"12","B073JWXGNT","SanDisk Ultra 32 GB microSDHC Memory Card + SD Adapter with A1 App Performance Up to 98 MB/s, Class 10, U1",874007,"4.7"
"12","B073K14CVB","SanDisk Ultra 16 GB microSDHC Memory Card + SD Adapter with A1 App Performance Up to 98 MB/s, Class 10, U1 , Red",874007,"4.7"
"12","B073JYC4XM","SanDisk Ultra 128 GB microSDXC Memory Card + SD Adapter with A1 App Performance Up to 100 MB/s, Class 10, U1",874007,"4.7"
"12","B074RNRM2B","SanDisk Ultra 400 GB microSDXC Memory Card + SD Adapter with A1 App Performance Up to 100 MB/s, Class 10, U1, Red",874007,"4.7"
"18","B089DPCJS1","SanDisk Cruzer Dial USB Flash Drive 16GB USB 2.0 - Triple Pack",873833,"4.7"
"19","B07SC7BZHR","SanDisk Ultra 512 GB microSDXC Memory Card + SD Adapter with A1 App Performance Up to 100 MB/s, Class 10, U1, Red/Grey",873832,"4.7"
"20","B07PJV3JPR","Echo Dot (3rd Gen) - Compact Bluetooth Speaker with Alexa - Charcoal Fabric",547940,"4.7"
"21","B014I8T4MO","Amazon Basics High-Speed, Ultra HD HDMI 2.0 Cables, Supports 3D Formats & With Audio Return Channel, 3 m, 2-Pack, Black",503952,"4.6"
"21","B014I8SP4W","Amazon Basics High-Speed, Ultra HD HDMI 2.0 Cables, Supports 3D Formats & With Audio Return Channel, 0.9 m, 2-Pack, Black",503952,"4.6"
"21","B014I8TC4E","Amazon Basics High-Speed HDMI 2.0 Cable, Supports 3D Formats & With Audio Return Channel, 7.6 m, Black",503952,"4.6"
"21","B01H7M782G","Amazon Basics High-Speed 4K, Ultra HD, HDMI Cable, 10 Feet, 3-Pack, Black, (Latest Standard)",503952,"4.6"
"21","B014I8SSD0","Amazon Basics High-Speed HDMI Cable For Television, A Male to A Male, 18 Gbps, 4K/60Hz, 1.8m, Black",503952,"4.6"
"21","B014I8SX4Y","Amazon Basics High-Speed, Ultra HD HDMI 2.0 Cables, Supports 3D Formats & With Audio Return Channel, 1.8 m, 2-Pack, Black",503952,"4.6"
"21","B014I8SIJY","Amazon Basics High-Speed, 4K Ultra HD HDMI 2.0 Cable/ Cord, 60 Hz, 2160p, 48 bit, 18 Gbps, 3D, Male to Male, 0.9 m, (2.9ft), Black",503952,"4.6"
"21","B014I8T0YQ","Amazon Basics High-Speed, Ultra HD HDMI 2.0 Cable, Supports 3D Formats and with Audio Return Channel, 3 m, Black",503952,"4.6"
"21","B01D5H93FW","Amazon Basics High-Speed 4K, Ultra HD, HDMI Cable, 3 Feet, 3-Pack, Black (Latest Standard)",503952,"4.6"
"21","B01H7M6YKI","Amazon Basics High-Speed 4K, Ultra HD, HDMI Cable - 6 Feet (3-Pack) (Latest Standard), Black",503952,"4.6"
"31","B014I8TFR8","Amazon Basics High-Speed HDMI 2.0 Cables, Supports 3D Formats and with Audio Return Channel, 0.9 m and 4.6 m (2-Pack)",503951,"4.6"
"32","B0BSGCRVKR","Unisex's Classic Clogs (Best Sellers)",479359,"4.7"
"33","B0014C5S7S","Unisex's Classic Clogs (Best Sellers)",479337,"4.7"
"34","B0BSGKQPN8","Unisex's Classic Clogs",477914,"4.7"
"35","B0014C5RNI","Unisex's Classic Clogs",474942,"4.7"
"36","B07FCMBLV6","SanDisk Extreme 64 GB microSDXC Memory Card + SD Adapter with A2 App Performance + Rescue Pro Deluxe, Up to 160 MB/s, Class 10, UHS-I, U3, V30, Red/Gold",369839,"4.7"
"36","B07P9W5HJV","SanDisk Extreme 1 TB microSDXC Memory Card + SD Adapter with A2 App Performance + Rescue Pro Deluxe, Up to 160 MB/s, Class 10, UHS-I, U3, V30",369839,"4.7"
"36","B07P7M6K35","SanDisk Extreme 512GB microSDXC Memory Card + SD Adapter with A2 App Performance + Rescue Pro Deluxe, up to 160MB/s, Class 10, UHS-I, U3, V30",369839,"4.7"
"36","B07FCR3316","SanDisk Extreme 256 GB microSDXC Memory Card + SD Adapter with A2 App Performance + Rescue Pro Deluxe, Up to 160 MB/s, Class 10, UHS-I, U3, V30, Red/Gold",369839,"4.7"
"36","B07FCMKK5X","SanDisk Extreme 128 GB microSDXC Memory Card + SD Adapter with A2 App Performance + Rescue Pro Deluxe, Up to 160 MB/s, Class 10, UHS-I, U3, V30 , Red/Gold",369839,"4.7"
"41","B06XWMQ81P","SanDisk Extreme 32 GB microSDHC Memory Card + SD Adapter with A1 App Performance + Rescue Pro Deluxe, Up to 100 MB/s, Class 10, UHS-I, U3, V30, Red/Gold",369838,"4.7"
"42","B08ZJMJWFW","SanDisk Ultra 64GB microSDHC UHS-I card, with Adapter (2-Pack)",359448,"4.7"
"43","B08GYG5SVQ","SanDisk Ultra 400GB microSDXC Memory Card + SD Adapter with A1 App Performance Up to 120 MB/s, Class 10, U1, Red/Grey",359447,"4.7"
"43","B08HCPTMJG","SanDisk Ultra 1TB microSDXC Memory Card + SD Adapter with A1 App Performance Up to 120 MB/s, Class 10, U1",359447,"4.7"
"43","B08ZJMPY2T","SanDisk 128GB Ultra microSDXC cards (2-pack) + SD adapter up to 120 MB/s with A1 App Performance UHS-I Class 10 U1 (Pack of 2)",359447,"4.7"
"43","B08GXXKY6P","SanDisk Ultra 512GB microSDXC Memory Card + SD Adapter with A1 App Performance Up to 120 MB/s, Class 10, U1",359447,"4.7"
"43","B08GY9NYRM","SanDisk Ultra 32 GB microSDHC Memory Card + SD Adapter with A1 App Performance Up to 120 MB/s, Class 10, U1, SDSQUA4-032G-GN6MA , Red/Grey",359447,"4.7"
"43","B08GY8NHF2","SanDisk Ultra microSDXC UHS-I memory card 256 GB+adapter (for Android smartphones and tablets and MIL cameras, A1, C10, U1, 120 MB/s transfer)",359447,"4.7"
"43","B08GYKNCCP","SanDisk Ultra microSDXC UHS-I memory card 128 GB + adapter (A1, Class 10, U1, Full HD videos, up to 120 MB/s read speed)|| Speed-Mbps/10x",359447,"4.7"
"43","B08J4HJ98L","SanDisk Ultra 32 GB microSDHC Memory Card + SD Adapter with A1 App Performance Up to 120 MB/s, Class 10, U1 (Twin Pack)",359447,"4.7"
